"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","Casual","Chủ Nhật",5061.30436414326
"2","Member","Chủ Nhật",972.938335797465
"3","Casual","Thứ Hai",4752.05043820426
"4","Member","Thứ Hai",822.311201666214
"5","Casual","Thứ Ba",4561.80385720148
"6","Member","Thứ Ba",769.441628768344
"7","Casual","Thứ Tư",4480.37243172952
"8","Member","Thứ Tư",711.983790257748
"9","Casual","Thứ Năm",8451.66685322513
"10","Member","Thứ Năm",707.209274283707
"11","Casual","Thứ Sáu",6090.73730188444
"12","Member","Thứ Sáu",796.733788899694
